region,regionID,FHG_10KBP,FHG_8KBP,FHG_6KBP,FHG_4KBP,FHG_3KBP,FHG_2KBP,FHG_1KBP,FHG_1500CE,FHG_1750CE,FHG_1850CE,EXAGR_10KBP,EXAGR_8KBP,EXAGR_6KBP,EXAGR_4KBP,EXAGR_3KBP,EXAG_2KBP,EXAG_1KBP,EXAG_1500CE,EXAG_1750CE,EXAG_1850CE,INAG_10KBP,INAG_8KBP,INAG_6KBP,INAG_4KBP,INAG_3KBP,INAG_2KBP,INAG_1KBP,INAG_1500CE,INAG_1750CE,INAG_1850CE,PAS_10KBP,PAS_8KBP,PAS_6KBP,PAS_4KBP,PAS_3KBP,PAS_2KBP,PAS_1KBP,PAS_1500CE,PAS_1750CE,PAS_1850CE
Alaska,r1,2,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Yukon Territory,r2,0,2,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Northwest Territories,r3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nunavut,r4,0,2,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Columbia,r5,2,2,3,3,3,3,3,3,3,3,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alberta,r6,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Saskatchewan,r7,3,3,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Manitoba,r8,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2
Ontario,r9,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2
Quebec,r10,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,2,3,3,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,3
New Brunswick and Nova Scotia,r11,2,0,2,3,3,3,3,3,3,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,3
Newfoundland and Labrador,r12,3,1,2,3,3,3,3,3,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,2,3
Greenland,r13,1,1,0,1,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2
Western USA,r14,3,3,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,3
Southwestern USA,r15,3,3,2,2,2,2,3,2,2,1,0,0,0,0,0,2,2,2,3,2,0,0,0,0,1,1,2,2,3,3,0,0,0,0,0,0,0,0,2,3
Rocky Mountains USA,r16,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3
Central Plains USA,r17,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,1,1
Midwest USA,r18,3,3,3,3,3,3,3,3,2,1,0,0,0,1,1,2,2,3,3,3,0,0,0,0,0,0,2,3,3,3,0,0,0,0,0,0,0,0,2,3
Northeastern USA,r19,3,3,3,3,3,3,3,3,3,1,0,0,0,0,1,2,2,3,3,3,0,0,0,0,0,0,1,2,2,3,0,0,0,0,0,0,0,0,2,1
Southern USA,r20,3,3,3,3,3,3,2,2,3,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Southeastern USA,r21,3,3,3,3,3,3,3,3,2,2,0,0,0,1,1,2,2,3,3,2,0,0,0,0,0,0,1,2,3,3,0,0,0,0,0,0,0,0,2,2
Northern Mexico,r22,1,2,3,3,2,1,2,2,2,1,0,0,1,2,2,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,3
Central Mexico,r23,3,2,2,2,2,2,2,2,1,1,0,1,2,2,2,3,3,3,3,3,0,0,0,0,1,2,3,3,3,3,0,0,0,0,0,0,0,0,3,3
Southern Mexico and Belize and Guatemala and El Salvador,r24,3,3,3,3,3,2,2,2,2,2,0,1,2,2,3,3,3,3,3,3,0,0,0,1,2,2,3,2,2,2,0,0,0,0,0,0,0,0,1,2
Honduras and Nicaragua and Costa Rica and Panama,r25,2,3,3,2,3,3,3,3,3,3,0,1,1,2,3,2,3,2,3,3,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2
The Caribbean,r26,0,1,1,2,2,3,3,3,2,2,0,0,0,0,1,2,3,2,2,2,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,0,0,0,2,2
Northern Andes Mountains,r27,3,3,1,2,1,0,0,0,1,1,0,0,0,1,2,2,2,3,3,3,0,0,0,0,1,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2
Llanos,r28,1,0,1,1,2,0,0,0,1,0,0,0,1,1,2,2,2,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Guiana Highlands,r29,1,1,2,2,2,3,2,2,2,2,0,0,1,1,1,2,2,2,2,2,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,1
Amazon Basin,r30,2,3,3,3,3,3,2,3,2,2,0,0,1,1,2,3,2,2,1,2,0,1,1,1,2,3,2,3,1,1,0,0,0,0,0,0,0,0,1,3
Brazilian Highlands,r31,2,2,3,3,3,3,1,1,0,0,0,0,1,2,2,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Andes Mountains,r32,2,2,3,2,2,2,2,1,1,1,0,1,2,2,2,3,3,3,3,3,0,0,0,2,2,3,3,3,3,3,0,0,2,2,3,3,3,3,3,3
Gran Chaco,r33,1,1,2,2,2,2,2,2,2,2,0,0,0,1,1,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
Southern Andes Mountains,r34,3,3,3,3,2,2,2,2,1,1,0,0,0,1,2,2,3,3,2,3,0,0,0,0,1,1,3,2,2,3,0,0,1,2,2,3,3,2,2,3
Pamapas,r35,1,1,2,2,2,2,2,2,2,2,0,0,0,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2
Patagonia,r36,2,2,3,2,3,3,3,3,3,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2
Iceland,r37,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,3,3,3,3
United Kingdom and Ireland,r38,3,2,3,2,2,2,2,2,2,2,0,0,0,2,3,3,3,2,3,2,0,0,0,2,2,2,3,3,3,3,0,0,0,2,3,3,3,3,3,3
Scandinavia,r39,1,3,3,2,2,2,2,2,1,1,0,0,2,2,2,2,2,2,2,2,0,0,0,1,1,2,2,2,3,3,0,0,1,2,3,3,3,3,3,3
Finland and Estonia and Latvia and Lithuania,r40,3,3,3,3,3,3,3,2,2,2,0,0,1,1,2,2,2,2,2,2,0,0,0,1,1,1,2,2,2,2,0,0,1,1,2,2,3,3,3,3
Spain and Portugal,r41,3,2,2,2,2,2,1,1,1,1,0,0,2,3,3,3,3,3,3,3,0,0,2,3,3,3,3,3,3,3,0,0,2,3,3,3,3,3,3,3
France,r42,3,3,2,1,1,1,1,0,0,0,0,0,2,2,2,3,2,3,2,2,0,0,1,2,2,3,2,3,3,3,0,0,3,3,3,3,3,3,3,3
Central Europe,r43,3,2,2,1,1,1,1,1,1,1,0,0,3,3,3,3,3,3,3,3,0,0,1,2,3,3,3,3,3,3,0,0,2,3,3,3,3,3,3,3
Southern Europe,r44,2,2,1,1,1,1,1,1,1,1,0,2,2,2,2,3,2,3,3,2,0,0,1,2,3,3,3,3,3,3,0,2,3,2,3,3,3,3,3,2
Eastern Europe,r45,3,3,3,2,1,1,1,1,1,0,0,0,3,3,3,3,3,3,3,3,0,0,0,3,0,0,0,1,2,2,0,0,3,3,2,2,1,1,1,1
Belarus,r46,3,3,3,2,2,2,2,1,1,1,0,1,2,2,2,2,2,2,2,2,0,0,0,1,1,2,2,2,3,3,0,0,1,3,3,3,3,3,3,3
Ukraine,r47,3,3,2,1,1,1,1,1,1,1,0,1,2,2,1,1,1,1,1,1,0,1,2,2,2,3,2,3,3,3,0,1,3,3,3,3,3,3,3,3
Romania and Bulgaria and Moldova,r48,3,2,1,1,2,2,2,1,1,1,0,0,1,1,3,2,2,1,1,1,0,1,3,2,2,2,3,3,3,3,0,0,3,2,2,2,1,1,2,2
Northwestern Russia,r49,3,3,3,3,3,3,3,3,3,3,0,0,1,1,1,1,2,2,1,2,0,0,0,0,0,1,2,2,0,1,0,0,1,1,1,1,3,3,2,2
Central Russia,r50,3,3,3,3,2,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,0,0,0,1,2,2,2,2,2,2,0,0,0,1,3,3,3,3,3,3
Southern Russia,r51,3,3,1,1,2,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,0,0,1,2,1,2,3,3,3,3,0,1,1,2,3,3,3,3,3,3
Volga,r52,3,3,3,2,2,1,1,1,1,1,0,0,1,1,1,1,1,1,2,2,0,0,0,1,2,2,2,2,2,2,0,0,0,2,3,3,3,3,3,3
Urals,r53,3,3,3,3,3,3,3,3,2,2,0,0,0,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,2,2,2,2,2
